GID_2;NAME_2;CO_MUN_GEO;NO_MUN;SG_UF
BRA.22.1_1;Alta Floresta d'Oeste;1100015;ALTA FLORESTA D'OESTE;RO
BRA.22.5_1;Ariquemes;1100023;ARIQUEMES;RO
BRA.12.19_1;Cabixi;1100031;CABIXI;RO
BRA.22.8_1;Cacoal;1100049;CACOAL;RO
BRA.22.12_1;Cerejeiras;1100056;CEREJEIRAS;RO
BRA.22.14_1;Colorado do Oeste;1100064;COLORADO DO OESTE;RO
BRA.22.15_1;Corumbiara;1100072;CORUMBIARA;RO
BRA.22.16_1;Costa Marques;1100080;COSTA MARQUES;RO
BRA.22.18_1;Espigão d'Oeste;1100098;ESPIGAO D'OESTE;RO
BRA.22.20_1;Guajará-Mirim;1100106;GUAJARA-MIRIM;RO
BRA.22.22_1;Jaru;1100114;JARU;RO
BRA.22.23_1;Ji-Paraná;1100122;JI-PARANA;RO
BRA.22.24_1;Machadinho;1100130;MACHADINHO D'OESTE;RO
BRA.22.28_1;Nova Brasilândia d'Oeste;1100148;NOVA BRASILANDIA D'OESTE;RO
BRA.22.32_1;Ouro Preto do Oeste;1100155;OURO PRETO DO OESTE;RO
BRA.22.34_1;Pimenta Bueno;1100189;PIMENTA BUENO;RO
BRA.22.36_1;Porto Velho;1100205;PORTO VELHO;RO
BRA.22.37_1;Presidente Médici;1100254;PRESIDENTE MEDICI;RO
BRA.22.39_1;Rio Crespo;1100262;RIO CRESPO;RO
BRA.22.40_1;Rolim de Moura;1100288;ROLIM DE MOURA;RO
BRA.22.41_1;Santa Luzia d'Oeste;1100296;SANTA LUZIA D'OESTE;RO
BRA.22.51_1;Vilhena;1100304;VILHENA;RO
BRA.22.44_1;São Miguel do Guaporé;1100320;SAO MIGUEL DO GUAPORE;RO
BRA.22.29_1;Nova Mamoré;1100338;NOVA MAMORE;RO
BRA.22.4_1;Alvorada d'Oeste;1100346;ALVORADA D'OESTE;RO
BRA.22.2_1;Alto Alegre dos Parecis;1100379;ALTO ALEGRE DOS PARECIS;RO
BRA.22.3_1;Alto Paraíso;1100403;ALTO PARAISO;RO
BRA.22.6_1;Buritis;1100452;BURITIS;RO
BRA.22.31_1;Novo Horizonte do Oeste;1100502;NOVO HORIZONTE DO OESTE;RO
BRA.22.7_1;Cacaulândia;1100601;CACAULANDIA;RO
BRA.22.9_1;Campo Novo de Rondônia;1100700;CAMPO NOVO DE RONDONIA;RO
BRA.22.10_1;Candeias do Jamari;1100809;CANDEIAS DO JAMARI;RO
BRA.22.11_1;Castanheiras;1100908;CASTANHEIRAS;RO
BRA.22.13_1;Chupinguaia;1100924;CHUPINGUAIA;RO
BRA.22.17_1;Cujubim;1100940;CUJUBIM;RO
BRA.22.19_1;Governador Jorge Teixeira;1101005;GOVERNADOR JORGE TEIXEIRA;RO
BRA.22.21_1;Itapuã do Oeste;1101104;ITAPUA DO OESTE;RO
BRA.22.25_1;Ministro Andreazza;1101203;MINISTRO ANDREAZZA;RO
BRA.22.26_1;Mirante da Serra;1101302;MIRANTE DA SERRA;RO
BRA.22.27_1;Monte Negro;1101401;MONTE NEGRO;RO
BRA.22.30_1;Nova União;1101435;NOVA UNIAO;RO
BRA.22.33_1;Parecis;1101450;PARECIS;RO
BRA.22.35_1;Pimenteiras do Oeste;1101468;PIMENTEIRAS DO OESTE;RO
BRA.22.38_1;Primavera de Rondônia;1101476;PRIMAVERA DE RONDONIA;RO
BRA.22.42_1;São Felipe d'Oeste;1101484;SAO FELIPE D'OESTE;RO
BRA.22.43_1;São Francisco do Guaporé;1101492;SAO FRANCISCO DO GUAPORE;RO
BRA.22.45_1;Seringueiras;1101500;SERINGUEIRAS;RO
BRA.22.46_1;Teixeirópolis;1101559;TEIXEIROPOLIS;RO
BRA.22.47_1;Theobroma;1101609;THEOBROMA;RO
BRA.22.48_1;Urupá;1101708;URUPA;RO
BRA.22.49_1;Vale do Anari;1101757;VALE DO ANARI;RO
BRA.22.50_1;Vale do Paraíso;1101807;VALE DO PARAISO;RO
BRA.1.1_1;Acrelândia;1200013;ACRELANDIA;AC
BRA.1.2_1;Assis Brazil;1200054;ASSIS BRASIL;AC
BRA.1.3_1;Brasiléia;1200104;BRASILEIA;AC
BRA.1.4_1;Bujari;1200138;BUJARI;AC
BRA.1.5_1;Capixaba;1200179;CAPIXABA;AC
BRA.1.6_1;Cruzeiro do Sul;1200203;CRUZEIRO DO SUL;AC
BRA.1.7_1;Epitaciolândia;1200252;EPITACIOLANDIA;AC
BRA.1.8_1;Feijó;1200302;FEIJO;AC
BRA.1.9_1;Jordão;1200328;JORDAO;AC
BRA.1.10_1;Mâncio Lima;1200336;MANCIO LIMA;AC
BRA.1.11_1;Manoel Urbano;1200344;MANOEL URBANO;AC
BRA.1.12_1;Marechal Thaumaturgo;1200351;MARECHAL THAUMATURGO;AC
BRA.1.13_1;Plácido de Castro;1200385;PLACIDO DE CASTRO;AC
BRA.1.15_1;Porto Walter;1200393;PORTO WALTER;AC
BRA.1.16_1;Rio Branco;1200401;RIO BRANCO;AC
BRA.1.17_1;Rodrigues Alves;1200427;RODRIGUES ALVES;AC
BRA.1.18_1;Santa Rosa do Purus;1200435;SANTA ROSA DO PURUS;AC
BRA.1.20_1;Senador Guiomard;1200450;SENADOR GUIOMARD;AC
BRA.1.19_1;Sena Madureira;1200500;SENA MADUREIRA;AC
BRA.1.21_1;Tarauacá;1200609;TARAUACA;AC
BRA.1.22_1;Xapuri;1200708;XAPURI;AC
BRA.1.14_1;Porto Acre;1200807;PORTO ACRE;AC
BRA.4.1_1;Alvarães;1300029;ALVARAES;AM
BRA.4.2_1;Amaturá;1300060;AMATURA;AM
BRA.4.3_1;Anamã;1300086;ANAMA;AM
BRA.4.4_1;Anori;1300102;ANORI;AM
BRA.4.5_1;Apuí;1300144;APUI;AM
BRA.4.6_1;Atalaia do Norte;1300201;ATALAIA DO NORTE;AM
BRA.4.7_1;Autazes;1300300;AUTAZES;AM
BRA.4.8_1;Barcelos;1300409;BARCELOS;AM
BRA.4.9_1;Barreirinha;1300508;BARREIRINHA;AM
BRA.4.10_1;Benjamin Constant;1300607;BENJAMIN CONSTANT;AM
BRA.4.11_1;Beruri;1300631;BERURI;AM
BRA.4.12_1;Boa Vista do Ramos;1300680;BOA VISTA DO RAMOS;AM
BRA.4.13_1;Boca do Acre;1300706;BOCA DO ACRE;AM
BRA.4.14_1;Borba;1300805;BORBA;AM
BRA.4.15_1;Caapiranga;1300839;CAAPIRANGA;AM
BRA.4.16_1;Canutama;1300904;CANUTAMA;AM
BRA.4.17_1;Carauari;1301001;CARAUARI;AM
BRA.4.19_1;Careiro;1301100;CAREIRO;AM
BRA.4.18_1;Careiro da Várzea;1301159;CAREIRO DA VARZEA;AM
BRA.4.20_1;Coari;1301209;COARI;AM
BRA.4.21_1;Codajás;1301308;CODAJAS;AM
BRA.4.22_1;Eirunepé;1301407;EIRUNEPE;AM
BRA.4.23_1;Envira;1301506;ENVIRA;AM
BRA.4.24_1;Fonte Boa;1301605;FONTE BOA;AM
BRA.4.25_1;Guajará;1301654;GUAJARA;AM
BRA.4.26_1;Humaitá;1301704;HUMAITA;AM
BRA.4.27_1;Ipixuna;1301803;IPIXUNA;AM
BRA.4.28_1;Iranduba;1301852;IRANDUBA;AM
BRA.4.29_1;Itacoatiara;1301902;ITACOATIARA;AM
BRA.4.30_1;Itamarati;1301951;ITAMARATI;AM
BRA.4.31_1;Japurá;1302108;JAPURA;AM
BRA.4.32_1;Juruá;1302207;JURUA;AM
BRA.4.33_1;Jutaí;1302306;JUTAI;AM
BRA.4.34_1;Lábrea;1302405;LABREA;AM
BRA.4.35_1;Manacapuru;1302504;MANACAPURU;AM
BRA.4.36_1;Manaquiri;1302553;MANAQUIRI;AM
BRA.4.37_1;Manicore;1302702;MANICORE;AM
BRA.4.38_1;Maraã;1302801;MARAA;AM
BRA.4.39_1;Maués;1302900;MAUES;AM
BRA.4.40_1;Nhamundá;1303007;NHAMUNDA;AM
BRA.4.41_1;Nova Olinda do Norte;1303106;NOVA OLINDA DO NORTE;AM
BRA.4.42_1;Novo Airão;1303205;NOVO AIRAO;AM
BRA.4.43_1;Novo Aripuanã;1303304;NOVO ARIPUANA;AM
BRA.4.44_1;Parintins;1303403;PARINTINS;AM
BRA.4.45_1;Pauini;1303502;PAUINI;AM
BRA.4.46_1;Presidente Figueiredo;1303536;PRESIDENTE FIGUEIREDO;AM
BRA.4.47_1;Rio Preto da Eva;1303569;RIO PRETO DA EVA;AM
BRA.4.48_1;Santa Isabel do Rio Negro;1303601;SANTA ISABEL DO RIO NEGRO;AM
BRA.4.49_1;Santo Antônio do Içá;1303700;SANTO ANTONIO DO ICA;AM
BRA.4.50_1;São Gabriel de Cahoeira;1303809;SAO GABRIEL DA CACHOEIRA;AM
BRA.4.51_1;São Paulo de Olivença;1303908;SAO PAULO DE OLIVENCA;AM
BRA.4.52_1;São Sebastião do Uatumã;1303957;SAO SEBASTIAO DO UATUMA;AM
BRA.4.53_1;Silves;1304005;SILVES;AM
BRA.4.54_1;Tabatinga;1304062;TABATINGA;AM
BRA.4.55_1;Tapauá;1304104;TAPAUA;AM
BRA.4.56_1;Tefé;1304203;TEFE;AM
BRA.4.57_1;Tonantins;1304237;TONANTINS;AM
BRA.4.58_1;Uarini;1304260;UARINI;AM
BRA.4.59_1;Urucará;1304302;URUCARA;AM
BRA.4.60_1;Urucurituba;1304401;URUCURITUBA;AM
BRA.23.2_1;Amajari;1400027;AMAJARI;RR
BRA.23.1_1;Alto Alegre;1400050;ALTO ALEGRE;RR
BRA.23.3_1;Boa Vista;1400100;BOA VISTA;RR
BRA.23.4_1;Bonfim;1400159;BONFIM;RR
BRA.23.5_1;Cantá;1400175;CANTA;RR
BRA.23.6_1;Caracaraí;1400209;CARACARAI;RR
BRA.23.7_1;Caroebe;1400233;CAROEBE;RR
BRA.23.8_1;Iracema;1400282;IRACEMA;RR
BRA.23.9_1;Mucajaí;1400308;MUCAJAI;RR
BRA.23.10_1;Normandia;1400407;NORMANDIA;RR
BRA.23.11_1;Pacaraima;1400456;PACARAIMA;RR
BRA.23.12_1;Rorainópolis;1400472;RORAINOPOLIS;RR
BRA.23.13_1;São João da Baliza;1400506;SAO JOAO DA BALIZA;RR
BRA.23.14_1;São Luiz;1400605;SAO LUIZ;RR
BRA.23.15_1;Uiramutã;1400704;UIRAMUTA;RR
BRA.14.1_1;Abaetetuba;1500107;ABAETETUBA;PA
BRA.14.2_1;Abel Figueiredo;1500131;ABEL FIGUEIREDO;PA
BRA.14.3_1;Acará;1500206;ACARA;PA
BRA.14.4_1;Afuá;1500305;AFUA;PA
BRA.14.5_1;Água Azul do Norte;1500347;AGUA AZUL DO NORTE;PA
BRA.14.6_1;Alenquer;1500404;ALENQUER;PA
BRA.14.7_1;Almerim;1500503;ALMEIRIM;PA
BRA.14.8_1;Altamira;1500602;ALTAMIRA;PA
BRA.14.9_1;Anajas;1500701;ANAJAS;PA
BRA.14.10_1;Ananindeua;1500800;ANANINDEUA;PA
BRA.14.11_1;Anapu;1500859;ANAPU;PA
BRA.14.12_1;Augusto Corrêa;1500909;AUGUSTO CORREA;PA
BRA.14.13_1;Aurora do Pará;1500958;AURORA DO PARA;PA
BRA.14.14_1;Aveiro;1501006;AVEIRO;PA
BRA.14.15_1;Bagé;1501105;BAGRE;PA
BRA.14.16_1;Baião;1501204;BAIAO;PA
BRA.14.17_1;Bannach;1501253;BANNACH;PA
BRA.14.18_1;Barcarena;1501303;BARCARENA;PA
BRA.14.19_1;Belém;1501402;BELEM;PA
BRA.14.20_1;Belterra;1501451;BELTERRA;PA
BRA.14.21_1;Benevides;1501501;BENEVIDES;PA
BRA.14.22_1;Bom Jesus do Tocantins;1501576;BOM JESUS DO TOCANTINS;PA
BRA.14.23_1;Bonito;1501600;BONITO;PA
BRA.14.24_1;Braganga;1501709;BRAGANCA;PA
BRA.14.25_1;Brazil Novo;1501725;BRASIL NOVO;PA
BRA.14.26_1;Brejo Grande do Araguaia;1501758;BREJO GRANDE DO ARAGUAIA;PA
BRA.14.27_1;Breu Branco;1501782;BREU BRANCO;PA
BRA.14.28_1;Breves;1501808;BREVES;PA
BRA.14.29_1;Bujaru;1501907;BUJARU;PA
BRA.14.31_1;Cachoeira do Piriá;1501956;CACHOEIRA DO PIRIA;PA
BRA.14.30_1;Cachoeira do Arari;1502004;CACHOEIRA DO ARARI;PA
BRA.14.32_1;Cametá;1502103;CAMETA;PA
BRA.14.33_1;Canaã dos Carajás;1502152;CANAA DOS CARAJAS;PA
BRA.14.34_1;Capanema;1502202;CAPANEMA;PA
BRA.14.35_1;Capitão Poço;1502301;CAPITAO POCO;PA
BRA.14.36_1;Castanhal;1502400;CASTANHAL;PA
BRA.14.37_1;Chaves;1502509;CHAVES;PA
BRA.14.38_1;Colares;1502608;COLARES;PA
BRA.14.39_1;Conceição do Araguaia;1502707;CONCEICAO DO ARAGUAIA;PA
BRA.14.40_1;Concórdia do Pará;1502756;CONCORDIA DO PARA;PA
BRA.14.41_1;Cumaru do Norte;1502764;CUMARU DO NORTE;PA
BRA.14.42_1;Curionópolis;1502772;CURIONOPOLIS;PA
BRA.14.43_1;Curralinho;1502806;CURRALINHO;PA
BRA.14.44_1;Curuá;1502855;CURUA;PA
BRA.14.45_1;Curuçá;1502905;CURUCA;PA
BRA.14.46_1;Dom Eliseu;1502939;DOM ELISEU;PA
BRA.14.47_1;Eldorado dos Carajás;1502954;ELDORADO DOS CARAJAS;PA
BRA.14.48_1;Faro;1503002;FARO;PA
BRA.14.49_1;Floresta do Araguaia;1503044;FLORESTA DO ARAGUAIA;PA
BRA.14.50_1;Garrafão do Norte;1503077;GARRAFAO DO NORTE;PA
BRA.14.51_1;Goianésia do Pará;1503093;GOIANESIA DO PARA;PA
BRA.14.52_1;Gurupá;1503101;GURUPA;PA
BRA.14.53_1;Igarapé-Açu;1503200;IGARAPE-ACU;PA
BRA.14.54_1;Igarapé-Miri;1503309;IGARAPE-MIRI;PA
BRA.14.55_1;Inhangapi;1503408;INHANGAPI;PA
BRA.14.56_1;Ipixuna do Pará;1503457;IPIXUNA DO PARA;PA
BRA.14.57_1;Irituia;1503507;IRITUIA;PA
BRA.14.58_1;Itaituba;1503606;ITAITUBA;PA
BRA.14.59_1;Itupiranga;1503705;ITUPIRANGA;PA
BRA.14.60_1;Jacareacanga;1503754;JACAREACANGA;PA
BRA.14.61_1;Jacundá;1503804;JACUNDA;PA
BRA.14.62_1;Juruti;1503903;JURUTI;PA
BRA.14.63_1;Limoeiro do Ajuru;1504000;LIMOEIRO DO AJURU;PA
BRA.14.69_1;Me do Rio;1504059;MAE DO RIO;PA
BRA.14.64_1;Magalhães Barata;1504109;MAGALHAES BARATA;PA
BRA.14.65_1;Marabá;1504208;MARABA;PA
BRA.14.66_1;Maracanã;1504307;MARACANA;PA
BRA.14.67_1;Marapanim;1504406;MARAPANIM;PA
BRA.14.68_1;Marituba;1504422;MARITUBA;PA
BRA.14.70_1;Medicilândia;1504455;MEDICILANDIA;PA
BRA.14.71_1;Melgaco;1504505;MELGACO;PA
BRA.14.73_1;Mocajuba;1504604;MOCAJUBA;PA
BRA.14.74_1;Moju;1504703;MOJU;PA
BRA.14.75_1;Monte Alegre;1504802;MONTE ALEGRE;PA
BRA.14.76_1;Muaná;1504901;MUANA;PA
BRA.14.77_1;Nova Esperança do Piriá;1504950;NOVA ESPERANCA DO PIRIA;PA
BRA.14.78_1;Nova Ipixuna;1504976;NOVA IPIXUNA;PA
BRA.14.79_1;Nova Timboteua;1505007;NOVA TIMBOTEUA;PA
BRA.14.80_1;Novo Progresso;1505031;NOVO PROGRESSO;PA
BRA.14.81_1;Novo Repartimento;1505064;NOVO REPARTIMENTO;PA
BRA.14.82_1;Óbidos;1505106;OBIDOS;PA
BRA.14.83_1;Oeiras do Pará;1505205;OEIRAS DO PARA;PA
BRA.14.84_1;Oriximiná;1505304;ORIXIMINA;PA
BRA.14.85_1;Ourém;1505403;OUREM;PA
BRA.14.86_1;Ourilândia do Norte;1505437;OURILANDIA DO NORTE;PA
BRA.14.87_1;Pacajá;1505486;PACAJA;PA
BRA.14.88_1;Palestina do Pará;1505494;PALESTINA DO PARA;PA
BRA.14.89_1;Paragominas;1505502;PARAGOMINAS;PA
BRA.14.90_1;Parauapebas;1505536;PARAUAPEBAS;PA
BRA.14.91_1;Pau d'Arco;1505551;PAU D'ARCO;PA
BRA.14.92_1;Peixe Boi;1505601;PEIXE-BOI;PA
BRA.14.93_1;Piçarra;1505635;PICARRA;PA
BRA.14.94_1;Placas;1505650;PLACAS;PA
BRA.14.95_1;Ponta de Pedras;1505700;PONTA DE PEDRAS;PA
BRA.14.96_1;Portel;1505809;PORTEL;PA
BRA.14.97_1;Porto de Moz;1505908;PORTO DE MOZ;PA
BRA.14.98_1;Prainha;1506005;PRAINHA;PA
BRA.14.99_1;Primavera;1506104;PRIMAVERA;PA
BRA.14.100_1;Quatipuru;1506112;QUATIPURU;PA
BRA.14.101_1;Redenção;1506138;REDENCAO;PA
BRA.14.102_1;Rio Maria;1506161;RIO MARIA;PA
BRA.14.103_1;Rondon do Pará;1506187;RONDON DO PARA;PA
BRA.14.104_1;Rurópolis;1506195;RUROPOLIS;PA
BRA.14.105_1;Salinópolis;1506203;SALINOPOLIS;PA
BRA.14.106_1;Salvaterra;1506302;SALVATERRA;PA
BRA.14.107_1;Santa Bárbara do Pará;1506351;SANTA BARBARA DO PARA;PA
BRA.14.108_1;Santa Cruz do Arari;1506401;SANTA CRUZ DO ARARI;PA
BRA.14.109_1;Santa Isabel do Pará;1506500;SANTA ISABEL DO PARA;PA
BRA.14.110_1;Santa Luzia do Pará;1506559;SANTA LUZIA DO PARA;PA
BRA.14.111_1;Santa Maria das Barreiras;1506583;SANTA MARIA DAS BARREIRAS;PA
BRA.14.112_1;Santa Maria do Pará;1506609;SANTA MARIA DO PARA;PA
BRA.14.113_1;Santana do Araguaia;1506708;SANTANA DO ARAGUAIA;PA
BRA.14.115_1;Santarém;1506807;SANTAREM;PA
BRA.14.114_1;Santarém Novo;1506906;SANTAREM NOVO;PA
BRA.14.116_1;Santo Antônio do Tauá;1507003;SANTO ANTONIO DO TAUA;PA
BRA.14.117_1;São Caetano de Odivelas;1507102;SAO CAETANO DE ODIVELAS;PA
BRA.14.118_1;São Domingos do Araguaia;1507151;SAO DOMINGOS DO ARAGUAIA;PA
BRA.14.119_1;São Domingos do Capim;1507201;SAO DOMINGOS DO CAPIM;PA
BRA.14.120_1;São Félix do Xingu;1507300;SAO FELIX DO XINGU;PA
BRA.14.121_1;São Francisco do Pará;1507409;SAO FRANCISCO DO PARA;PA
BRA.14.122_1;São Geraldo do Araguaia;1507458;SAO GERALDO DO ARAGUAIA;PA
BRA.14.123_1;São João da Ponta;1507466;SAO JOAO DA PONTA;PA
BRA.14.124_1;São João de Pirabas;1507474;SAO JOAO DE PIRABAS;PA
BRA.14.125_1;São João do Araguaia;1507508;SAO JOAO DO ARAGUAIA;PA
BRA.14.126_1;São Miguel do Guamá;1507607;SAO MIGUEL DO GUAMA;PA
BRA.14.127_1;São Sebastião da Boa Vista;1507706;SAO SEBASTIAO DA BOA VISTA;PA
BRA.14.128_1;Sapucaia;1507755;SAPUCAIA;PA
BRA.14.129_1;Senador José Porfírio;1507805;SENADOR JOSE PORFIRIO;PA
BRA.14.130_1;Soure;1507904;SOURE;PA
BRA.14.131_1;Tailândia;1507953;TAILANDIA;PA
BRA.14.132_1;Terra Alta;1507961;TERRA ALTA;PA
BRA.14.133_1;Terra Santa;1507979;TERRA SANTA;PA
BRA.14.134_1;Tomé-Açu;1508001;TOME-ACU;PA
BRA.14.135_1;Tracuateua;1508035;TRACUATEUA;PA
BRA.14.136_1;Trairão;1508050;TRAIRAO;PA
BRA.14.137_1;Tucumã;1508084;TUCUMA;PA
BRA.14.138_1;Tucuruí;1508100;TUCURUI;PA
BRA.14.139_1;Ulianópolis;1508126;ULIANOPOLIS;PA
BRA.14.140_1;Uruará;1508159;URUARA;PA
BRA.14.141_1;Vigia;1508209;VIGIA;PA
BRA.14.142_1;Viseu;1508308;VISEU;PA
BRA.14.143_1;Vitória do Xingu;1508357;VITORIA DO XINGU;PA
BRA.14.144_1;Xinguara;1508407;XINGUARA;PA
BRA.3.14_1;Serra do Navio;1600055;SERRA DO NAVIO;AP
BRA.3.1_1;Amapá;1600105;AMAPA;AP
BRA.3.10_1;Pedra Branca do Amaparí;1600154;PEDRA BRANCA DO AMAPARI;AP
BRA.3.2_1;Calçoene;1600204;CALCOENE;AP
BRA.3.3_1;Cutias;1600212;CUTIAS;AP
BRA.3.4_1;Ferreira Gomes;1600238;FERREIRA GOMES;AP
BRA.3.5_1;Itaubal;1600253;ITAUBAL;AP
BRA.3.6_1;Laranjal do Jari;1600279;LARANJAL DO JARI;AP
BRA.3.7_1;Macapa;1600303;MACAPA;AP
BRA.3.8_1;Mazagão;1600402;MAZAGAO;AP
BRA.3.9_1;Oiapoque;1600501;OIAPOQUE;AP
BRA.3.11_1;Porto Grande;1600535;PORTO GRANDE;AP
BRA.3.12_1;Pracuúba;1600550;PRACUUBA;AP
BRA.3.13_1;Santana;1600600;SANTANA;AP
BRA.3.15_1;Tartarugalzinho;1600709;TARTARUGALZINHO;AP
BRA.3.16_1;Vitória do Jari;1600808;VITORIA DO JARI;AP
BRA.27.1_1;Abreulândia;1700251;ABREULANDIA;TO
BRA.27.2_1;Aguiarnópolis;1700301;AGUIARNOPOLIS;TO
BRA.27.3_1;Aliança do Tocantins;1700350;ALIANCA DO TOCANTINS;TO
BRA.27.4_1;Almas;1700400;ALMAS;TO
BRA.27.5_1;Alvorada;1700707;ALVORADA;TO
BRA.27.6_1;Ananás;1701002;ANANAS;TO
BRA.27.7_1;Angico;1701051;ANGICO;TO
BRA.27.8_1;Aparecida do Rio Negro;1701101;APARECIDA DO RIO NEGRO;TO
BRA.27.9_1;Aragominas;1701309;ARAGOMINAS;TO
BRA.27.10_1;Araguacema;1701903;ARAGUACEMA;TO
BRA.27.11_1;Araguaçu;1702000;ARAGUACU;TO
BRA.27.12_1;Araguaína;1702109;ARAGUAINA;TO
BRA.27.13_1;Araguanã;1702158;ARAGUANA;TO
BRA.27.14_1;Araguatins;1702208;ARAGUATINS;TO
BRA.27.15_1;Arapoema;1702307;ARAPOEMA;TO
BRA.27.16_1;Arraias;1702406;ARRAIAS;TO
BRA.27.17_1;Augustinópolis;1702554;AUGUSTINOPOLIS;TO
BRA.27.18_1;Aurora do Tocantins;1702703;AURORA DO TOCANTINS;TO
BRA.27.19_1;Axixá do Tocantins;1702901;AXIXA DO TOCANTINS;TO
BRA.27.20_1;Babaçulândia;1703008;BABACULANDIA;TO
BRA.27.21_1;Bandeirantes do Tocantins;1703057;BANDEIRANTES DO TOCANTINS;TO
BRA.27.22_1;Barra do Ouro;1703073;BARRA DO OURO;TO
BRA.27.23_1;Barrolândia;1703107;BARROLANDIA;TO
BRA.27.24_1;Bernardo Sayão;1703206;BERNARDO SAYAO;TO
BRA.27.25_1;Bom Jesus do Tocantins;1703305;BOM JESUS DO TOCANTINS;TO
BRA.27.26_1;Brasilândia do Tocantins;1703602;BRASILANDIA DO TOCANTINS;TO
BRA.27.27_1;Brejinho de Nazaré;1703701;BREJINHO DE NAZARE;TO
BRA.27.28_1;Buriti do Tocantins;1703800;BURITI DO TOCANTINS;TO
BRA.27.29_1;Cachoeirinha;1703826;CACHOEIRINHA;TO
BRA.27.30_1;Campos Lindos;1703842;CAMPOS LINDOS;TO
BRA.27.31_1;Cariri do Tocantins;1703867;CARIRI DO TOCANTINS;TO
BRA.27.32_1;Carmolândia;1703883;CARMOLANDIA;TO
BRA.27.33_1;Carrasco Bonito;1703891;CARRASCO BONITO;TO
BRA.27.34_1;Caseara;1703909;CASEARA;TO
BRA.27.35_1;Centenário;1704105;CENTENARIO;TO
BRA.27.37_1;Chapada de Areia;1704600;CHAPADA DE AREIA;TO
BRA.27.36_1;Chapada da Natividade;1705102;CHAPADA DA NATIVIDADE;TO
BRA.27.38_1;Colinas do Tocantins;1705508;COLINAS DO TOCANTINS;TO
BRA.27.40_1;Combinado;1705557;COMBINADO;TO
BRA.27.41_1;Conceição do Tocantins;1705607;CONCEICAO DO TOCANTINS;TO
BRA.27.42_1;Couto Magalhaes;1706001;COUTO DE MAGALHAES;TO
BRA.27.43_1;Cristalândia;1706100;CRISTALANDIA;TO
BRA.27.44_1;Crixás do Tocantins;1706258;CRIXAS DO TOCANTINS;TO
BRA.27.45_1;Darcinópolis;1706506;DARCINOPOLIS;TO
BRA.27.46_1;Dianopolis;1707009;DIANOPOLIS;TO
BRA.27.47_1;Divinópolis do Tocantins;1707108;DIVINOPOLIS DO TOCANTINS;TO
BRA.27.48_1;Dueré;1707306;DUERE;TO
BRA.27.49_1;Esperantina;1707405;ESPERANTINA;TO
BRA.27.50_1;Fátima;1707553;FATIMA;TO
BRA.27.51_1;Figueirópolis;1707652;FIGUEIROPOLIS;TO
BRA.27.52_1;Filadélfia;1707702;FILADELFIA;TO
BRA.27.53_1;Formoso do Araguaia;1708205;FORMOSO DO ARAGUAIA;TO
BRA.27.54_1;Fortaleza do Tabocão;1708254;FORTALEZA DO TABOCAO;TO
BRA.27.55_1;Goianorte;1708304;GOIANORTE;TO
BRA.27.56_1;Goiatins;1709005;GOIATINS;TO
BRA.27.57_1;Gurupi;1709500;GURUPI;TO
BRA.27.58_1;Ipueiras;1709807;IPUEIRAS;TO
BRA.27.59_1;Itacajá;1710508;ITACAJA;TO
BRA.27.60_1;Itaguatins;1710706;ITAGUATINS;TO
BRA.27.61_1;Itapiratins;1710904;ITAPIRATINS;TO
BRA.27.62_1;Itaporã do Tocantins;1711100;ITAPORA DO TOCANTINS;TO
BRA.27.63_1;Jaú do Tocantins;1711506;JAU DO TOCANTINS;TO
BRA.27.64_1;Juarina;1711803;JUARINA;TO
BRA.27.65_1;Lagoa da Confusão;1711902;LAGOA DA CONFUSAO;TO
BRA.27.66_1;Lagoa do Tocantins;1711951;LAGOA DO TOCANTINS;TO
BRA.27.67_1;Lajedão;1712009;LAJEADO;TO
BRA.27.68_1;Lavandeira;1712157;LAVANDEIRA;TO
BRA.27.69_1;Lizarda;1712405;LIZARDA;TO
BRA.27.70_1;Luzinópolis;1712454;LUZINOPOLIS;TO
BRA.27.71_1;Marianópolis do Tocantins;1712504;MARIANOPOLIS DO TOCANTINS;TO
BRA.27.72_1;Mateiros;1712702;MATEIROS;TO
BRA.27.73_1;Maurilândia do Tocantins;1712801;MAURILANDIA DO TOCANTINS;TO
BRA.27.74_1;Miracema do Tocantins;1713205;MIRACEMA DO TOCANTINS;TO
BRA.27.75_1;Miranorte;1713304;MIRANORTE;TO
BRA.27.76_1;Monte do Carmo;1713601;MONTE DO CARMO;TO
BRA.27.77_1;Monte Santo do Tocantins;1713700;MONTE SANTO DO TOCANTINS;TO
BRA.27.78_1;Mosquito;1713809;PALMEIRAS DO TOCANTINS;TO
BRA.27.79_1;Muricilândia;1713957;MURICILANDIA;TO
BRA.27.80_1;Natividade;1714203;NATIVIDADE;TO
BRA.27.81_1;Nazaré;1714302;NAZARE;TO
BRA.27.82_1;Nova Olinda;1714880;NOVA OLINDA;TO
BRA.27.83_1;Nova Rosalândia;1715002;NOVA ROSALANDIA;TO
BRA.27.84_1;Novo Acordo;1715101;NOVO ACORDO;TO
BRA.27.85_1;Novo Alegre;1715150;NOVO ALEGRE;TO
BRA.27.86_1;Novo Jardim;1715259;NOVO JARDIM;TO
BRA.27.87_1;Oliveira de Fátima;1715507;OLIVEIRA DE FATIMA;TO
BRA.27.89_1;Palmeirante;1715705;PALMEIRANTE;TO
